City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,yeppoon,-23.1333,150.7333,306.03,60,87,5.49,AU,1707018046
180,katsuura,35.1333,140.3,279.16,93,100,7.07,JP,1707018047
181,minas,-34.3759,-55.2377,293.17,87,31,7.82,UY,1707017786
182,dokuchayevs'k,47.7477,37.6738,276.37,96,100,7.28,UA,1707018048
183,bubaque,11.2833,-15.8333,298.79,76,0,2.32,GW,1707018048
184,port isabel,26.0734,-97.2086,290.38,87,0,2.06,US,1707017450
185,rio grande,-32.035,-52.0986,296.9,88,1,6.14,BR,1707018049
186,griffith,41.5284,-87.4237,275.31,93,0,2.57,US,1707018050
187,flin flon,54.7682,-101.865,272.5,95,94,3.73,CA,1707018051
188,igrim,63.1906,64.4162,252.52,100,98,1.93,RU,1707018051
189,amga,60.8953,131.9608,245.77,94,99,1.02,RU,1707018052
190,mogocha,53.7333,119.7667,257.25,69,5,0.99,RU,1707018052
191,meadow lake,34.8014,-106.5436,278.86,37,0,8.6,US,1707018053
192,mossendjo,-2.9506,12.7261,293.79,99,100,0.21,CG,1707018054
193,ocean shores,46.9737,-124.1563,281.49,87,0,0.45,US,1707018054
194,maues,-3.3836,-57.7186,297.08,93,21,1.44,BR,1707018055
195,alice springs,-23.7,133.8833,308.9,19,100,4.12,AU,1707017786
196,mulanje,-16.0316,35.5,293.54,91,8,1.15,MW,1707018056
197,el granada,37.5027,-122.4694,284.09,89,100,7.2,US,1707018057
198,tumayr,25.7039,45.868,281.53,40,39,3.33,SA,1707018057
199,kavadarci,41.4331,22.0119,278.27,63,45,0.93,MK,1707018058
200,crane,31.3974,-102.3501,285.75,28,1,14.42,US,1707018058
201,choibalsan,48.0667,114.5,253.78,82,27,0.61,MN,1707018059
202,hirara,24.8,125.2833,297.3,83,75,4.12,JP,1707018060
203,vicuna,-30.0319,-70.7081,288.0,63,80,0.36,CL,1707018060
204,baiti,13.745,-14.7482,297.32,11,12,5.08,SN,1707018061
205,hasaki,35.7333,140.8333,281.09,89,100,5.5,JP,1707018061
206,szekszard,46.3501,18.709,281.92,79,100,4.28,HU,1707018062
207,alaghsas,17.0187,8.0168,288.49,15,4,7.57,NE,1707018063
208,kangding,30.0513,101.9603,280.66,32,2,1.75,CN,1707018063
209,codrington,-38.2667,141.9667,299.23,38,27,6.18,AU,1707018064
210,hukumati azrah,34.1736,69.6457,267.07,86,51,2.22,AF,1707018065
211,hamilton,39.1834,-84.5333,277.62,80,0,5.14,US,1707017602
212,cam ranh,11.9214,109.1591,302.13,61,0,3.6,VN,1707018066
